p	512	8192
a	0	1	60
a	0	2	38
a	0	3	29
a	0	4	64
a	0	5	82
a	0	6	11
a	0	7	99
a	0	8	28
a	0	9	36
a	0	10	64
a	0	11	71
a	0	12	50
a	0	13	41
a	0	14	41
a	0	15	45
a	0	16	63
a	0	17	35
a	0	18	36
a	0	19	59
a	0	20	55
a	0	22	81
a	0	23	69
a	0	24	42
a	0	25	100
a	0	26	2
a	0	27	59
a	0	28	32
a	0	31	52
a	0	32	48
a	0	33	91
a	0	34	62
a	0	35	97
a	0	36	16
a	0	37	60
a	0	38	59
a	0	39	38
a	0	40	26
a	0	41	99
a	0	42	76
a	0	43	51
a	0	48	56
a	0	49	47
a	0	56	81
a	0	57	25
a	0	58	64
a	0	59	100
a	0	63	72
a	0	64	91
a	0	65	45
a	0	66	41
a	0	67	13
a	0	68	5
a	0	69	25
a	0	71	36
a	0	72	42
a	0	73	51
a	0	74	8
a	0	75	90
a	0	76	35
a	0	79	60
a	0	80	48
a	0	81	50
a	0	82	17
a	0	83	51
a	0	84	90
a	0	88	58
a	0	89	58
a	0	90	49
a	0	96	40
a	0	97	75
a	0	102	84
a	0	104	97
a	0	105	19
a	0	106	96
a	0	120	76
a	0	128	89
a	0	129	71
a	0	130	46
a	0	131	12
a	0	133	21
a	0	135	29
a	0	136	30
a	0	137	9
a	0	138	20
a	0	139	23
a	0	141	91
a	0	144	61
a	0	145	73
a	0	146	10
a	0	147	82
a	0	148	27
a	0	150	84
a	0	152	12
a	0	153	4
a	0	154	28
a	0	156	86
a	0	157	57
a	0	162	19
a	0	168	52
a	0	170	19
a	0	171	33
a	0	186	79
a	0	192	92
a	0	193	21
a	0	194	82
a	0	195	2
a	0	196	34
a	0	200	52
a	0	202	90
a	0	207	53
a	0	208	38
a	0	209	64
a	0	210	41
a	0	214	53
a	0	224	46
a	0	249	30
a	0	256	48
a	0	257	35
a	0	258	66
a	0	259	58
a	0	260	56
a	0	261	8
a	0	262	14
a	0	263	96
a	0	264	57
a	0	265	64
a	0	266	53
a	0	267	66
a	0	268	90
a	0	269	95
a	0	270	48
a	0	271	82
a	0	272	48
a	0	273	32
a	0	274	98
a	0	275	85
a	0	276	25
a	0	278	49
a	0	279	25
a	0	280	78
a	0	281	58
a	0	282	39
a	0	283	84
a	0	284	99
a	0	285	68
a	0	288	28
a	0	289	6
a	0	290	13
a	0	291	20
a	0	292	7
a	0	293	91
a	0	294	2
a	0	295	89
a	0	296	67
a	0	297	54
a	0	298	84
a	0	299	71
a	0	303	86
a	0	304	75
a	0	305	23
a	0	306	12
a	0	312	62
a	0	314	34
a	0	320	63
a	0	321	42
a	0	322	97
a	0	323	67
a	0	324	83
a	0	326	15
a	0	328	22
a	0	329	59
a	0	330	49
a	0	331	19
a	0	332	68
a	0	333	88
a	0	334	47
a	0	336	44
a	0	337	94
a	0	338	88
a	0	339	37
a	0	341	26
a	0	342	95
a	0	344	99
a	0	346	33
a	0	349	6
a	0	352	23
a	0	353	86
a	0	354	91
a	0	355	17
a	0	357	74
a	0	360	46
a	0	362	93
a	0	364	44
a	0	370	65
a	0	372	50
a	0	384	37
a	0	385	38
a	0	386	18
a	0	387	32
a	0	388	48
a	0	389	16
a	0	390	27
a	0	392	2
a	0	393	35
a	0	394	20
a	0	395	47
a	0	400	16
a	0	401	60
a	0	402	34
a	0	403	92
a	0	405	36
a	0	406	56
a	0	408	67
a	0	409	31
a	0	412	22
a	0	416	86
a	0	417	30
a	0	419	32
a	0	420	61
a	0	423	46
a	0	424	99
a	0	428	41
a	0	448	50
a	0	450	83
a	0	451	58
a	0	456	67
a	0	457	48
a	0	458	70
a	0	460	41
a	0	464	48
a	0	473	88
a	0	480	84
a	0	483	45
a	1	0	39
a	1	2	65
a	1	3	26
a	1	4	54
a	1	6	27
a	1	7	70
a	1	8	30
a	1	9	57
a	1	10	85
a	1	11	46
a	1	12	8
a	1	14	78
a	1	15	24
a	1	16	20
a	1	17	98
a	1	18	42
a	1	19	47
a	1	20	85
a	1	23	34
a	1	24	62
a	1	25	46
a	1	26	39
a	1	29	66
a	1	32	53
a	1	33	1
a	1	35	32
a	1	36	44
a	1	40	58
a	1	41	86
a	1	42	30
a	1	48	94
a	1	56	10
a	1	64	55
a	1	66	8
a	1	67	28
a	1	68	53
a	1	69	43
a	1	70	16
a	1	72	48
a	1	73	90
a	1	74	1
a	1	83	94
a	1	90	91
a	1	91	8
a	1	96	61
a	1	115	58
a	1	116	45
a	1	128	13
a	1	129	48
a	1	130	77
a	1	131	21
a	1	132	90
a	1	136	26
a	1	138	94
a	1	139	22
a	1	140	17
a	1	143	58
a	1	144	54
a	1	145	96
a	1	150	75
a	1	176	76
a	1	192	20
a	1	193	56
a	1	198	78
a	1	203	1
a	1	204	75
a	1	217	5
a	1	256	20
a	1	257	32
a	1	258	84
a	1	259	48
a	1	260	100
a	1	262	28
a	1	263	8
a	1	264	79
a	1	265	8
a	1	266	11
a	1	267	26
a	1	269	35
a	1	271	68
a	1	272	41
a	1	273	69
a	1	274	95
a	1	275	42
a	1	276	60
a	1	278	29
a	1	280	67
a	1	282	31
a	1	283	54
a	1	284	46
a	1	285	14
a	1	287	9
a	1	288	39
a	1	289	17
a	1	290	80
a	1	291	38
a	1	298	68
a	1	299	58
a	1	300	7
a	1	304	35
a	1	306	52
a	1	312	73
a	1	320	28
a	1	321	80
a	1	322	51
a	1	323	29
a	1	324	41
a	1	326	39
a	1	327	49
a	1	328	85
a	1	329	48
a	1	330	63
a	1	331	96
a	1	332	45
a	1	338	34
a	1	340	87
a	1	344	8
a	1	352	89
a	1	356	84
a	1	363	99
a	1	384	73
a	1	385	60
a	1	386	10
a	1	388	30
a	1	390	42
a	1	391	80
a	1	392	47
a	1	393	69
a	1	394	73
a	1	398	97
a	1	400	69
a	1	401	19
a	1	402	66
a	1	448	79
a	1	452	25
a	1	456	78
a	1	464	45
a	1	474	47
a	2	0	60
a	2	1	68
a	2	3	63
a	2	4	27
a	2	5	67
a	2	6	37
a	2	7	12
a	2	8	5
a	2	9	32
a	2	10	29
a	2	11	42
a	2	12	90
a	2	13	31
a	2	16	48
a	2	17	56
a	2	18	29
a	2	19	76
a	2	20	6
a	2	21	29
a	2	22	35
a	2	24	9
a	2	25	80
a	2	30	59
a	2	32	84
a	2	33	42
a	2	34	32
a	2	35	19
a	2	40	30
a	2	41	11
a	2	44	69
a	2	48	19
a	2	49	35
a	2	50	46
a	2	52	73
a	2	64	89
a	2	65	45
a	2	66	45
a	2	68	91
a	2	72	14
a	2	73	97
a	2	75	2
a	2	76	82
a	2	80	11
a	2	81	41
a	2	83	62
a	2	84	63
a	2	87	6
a	2	88	63
a	2	89	63
a	2	96	84
a	2	98	56
a	2	99	5
a	2	106	54
a	2	107	94
a	2	120	66
a	2	125	23
a	2	128	71
a	2	129	9
a	2	130	30
a	2	131	85
a	2	132	29
a	2	133	13
a	2	134	39
a	2	135	18
a	2	136	21
a	2	137	31
a	2	138	4
a	2	139	57
a	2	144	7
a	2	147	16
a	2	148	88
a	2	160	49
a	2	161	48
a	2	165	69
a	2	176	42
a	2	177	52
a	2	192	6
a	2	194	88
a	2	196	55
a	2	200	96
a	2	205	40
a	2	208	81
a	2	224	24
a	2	232	78
a	2	249	5
a	2	256	68
a	2	257	30
a	2	258	2
a	2	259	48
a	2	260	91
a	2	261	67
a	2	263	7
a	2	264	25
a	2	265	67
a	2	266	67
a	2	267	98
a	2	268	98
a	2	269	68
a	2	270	31
a	2	272	57
a	2	273	42
a	2	274	93
a	2	275	84
a	2	276	10
a	2	277	22
a	2	280	52
a	2	281	7
a	2	282	1
a	2	285	27
a	2	286	85
a	2	288	64
a	2	289	38
a	2	291	95
a	2	297	93
a	2	299	80
a	2	300	10
a	2	304	91
a	2	306	42
a	2	310	80
a	2	312	93
a	2	316	57
a	2	320	93
a	2	321	7
a	2	322	53
a	2	323	49
a	2	324	75
a	2	325	63
a	2	326	29
a	2	328	9
a	2	329	80
a	2	332	6
a	2	336	95
a	2	339	81
a	2	340	25
a	2	341	46
a	2	344	6
a	2	346	100
a	2	352	100
a	2	355	55
a	2	384	95
a	2	385	93
a	2	386	81
a	2	387	52
a	2	388	19
a	2	389	68
a	2	391	51
a	2	392	13
a	2	393	53
a	2	395	77
a	2	396	51
a	2	400	39
a	2	409	81
a	2	410	61
a	2	416	8
a	2	425	72
a	2	429	80
a	2	453	18
a	2	456	72
a	2	488	9
a	2	492	45
a	3	0	38
a	3	1	38
a	3	2	74
a	3	4	93
a	3	5	55
a	3	8	9
a	3	10	77
a	3	11	46
a	3	17	73
a	3	18	56
a	3	22	49
a	3	26	5
a	3	32	39
a	3	33	22
a	3	34	3
a	3	41	45
a	3	48	23
a	3	53	31
a	3	64	57
a	3	65	96
a	3	66	93
a	3	69	52
a	3	70	27
a	3	72	100
a	3	80	17
a	3	128	64
a	3	130	64
a	3	136	80
a	3	137	88
a	3	176	51
a	3	201	87
a	3	256	100
a	3	257	56
a	3	258	87
a	3	259	25
a	3	260	70
a	3	263	99
a	3	264	33
a	3	265	77
a	3	268	59
a	3	272	91
a	3	274	5
a	3	277	93
a	3	279	41
a	3	283	74
a	3	284	13
a	3	286	62
a	3	288	46
a	3	289	71
a	3	304	15
a	3	320	95
a	3	325	89
a	3	328	43
a	3	336	92
a	3	337	57
a	3	345	35
a	3	352	98
a	3	354	64
a	3	359	95
a	3	372	5
a	3	384	51
a	3	398	64
a	3	400	72
a	3	408	93
a	3	409	89
a	3	418	79
a	3	432	98
a	3	448	42
a	4	0	18
a	4	1	4
a	4	2	42
a	4	3	19
a	4	5	52
a	4	6	38
a	4	7	7
a	4	8	74
a	4	9	74
a	4	10	49
a	4	11	68
a	4	12	29
a	4	13	18
a	4	14	56
a	4	15	16
a	4	16	81
a	4	17	69
a	4	18	80
a	4	19	72
a	4	20	19
a	4	21	30
a	4	22	88
a	4	24	20
a	4	25	48
a	4	26	34
a	4	30	82
a	4	32	33
a	4	34	39
a	4	35	79
a	4	36	73
a	4	37	38
a	4	38	60
a	4	39	88
a	4	40	58
a	4	41	93
a	4	43	16
a	4	48	76
a	4	50	20
a	4	64	20
a	4	65	40
a	4	66	51
a	4	67	83
a	4	68	53
a	4	69	49
a	4	70	46
a	4	71	53
a	4	72	58
a	4	74	57
a	4	78	13
a	4	81	75
a	4	82	8
a	4	83	66
a	4	84	93
a	4	87	89
a	4	91	75
a	4	96	91
a	4	97	71
a	4	101	69
a	4	106	1
a	4	107	4
a	4	128	59
a	4	129	1
a	4	130	71
a	4	132	42
a	4	133	53
a	4	135	52
a	4	136	49
a	4	137	88
a	4	138	5
a	4	141	90
a	4	148	39
a	4	154	43
a	4	155	89
a	4	160	26
a	4	162	46
a	4	192	80
a	4	193	31
a	4	196	75
a	4	204	68
a	4	205	99
a	4	207	20
a	4	208	66
a	4	224	30
a	4	229	74
a	4	256	21
a	4	257	59
a	4	258	72
a	4	259	55
a	4	260	92
a	4	261	18
a	4	262	36
a	4	263	67
a	4	264	77
a	4	265	4
a	4	266	32
a	4	267	99
a	4	268	60
a	4	269	2
a	4	270	86
a	4	272	61
a	4	273	30
a	4	274	61
a	4	275	17
a	4	276	51
a	4	277	8
a	4	278	43
a	4	280	5
a	4	281	77
a	4	282	67
a	4	283	33
a	4	288	70
a	4	289	52
a	4	290	74
a	4	291	97
a	4	292	97
a	4	293	22
a	4	295	64
a	4	296	65
a	4	304	72
a	4	306	25
a	4	307	38
a	4	308	37
a	4	312	59
a	4	314	60
a	4	320	36
a	4	321	98
a	4	322	38
a	4	323	47
a	4	324	27
a	4	325	15
a	4	328	80
a	4	329	2
a	4	331	30
a	4	332	89
a	4	333	49
a	4	334	32
a	4	336	27
a	4	341	93
a	4	346	81
a	4	347	44
a	4	361	1
a	4	368	13
a	4	370	5
a	4	373	33
a	4	382	95
a	4	384	35
a	4	385	29
a	4	386	6
a	4	388	32
a	4	392	80
a	4	393	74
a	4	394	51
a	4	401	48
a	4	403	65
a	4	411	84
a	4	412	59
a	4	417	62
a	4	424	38
a	4	425	48
a	4	433	98
a	4	440	40
a	4	448	20
a	4	450	100
a	4	451	66
a	4	457	38
a	4	486	65
a	5	0	11
a	5	1	18
a	5	2	7
a	5	3	57
a	5	4	19
a	5	7	1
a	5	8	32
a	5	9	71
a	5	10	52
a	5	12	85
a	5	15	35
a	5	16	5
a	5	18	11
a	5	21	1
a	5	32	47
a	5	35	88
a	5	40	94
a	5	49	83
a	5	64	100
a	5	66	63
a	5	67	58
a	5	72	92
a	5	74	97
a	5	79	85
a	5	83	34
a	5	96	97
a	5	128	24
a	5	132	5
a	5	133	74
a	5	136	55
a	5	138	6
a	5	160	26
a	5	162	23
a	5	164	9
a	5	167	44
a	5	198	43
a	5	256	29
a	5	257	48
a	5	258	13
a	5	259	8
a	5	260	39
a	5	264	51
a	5	265	89
a	5	266	58
a	5	268	86
a	5	269	5
a	5	271	21
a	5	288	8
a	5	291	24
a	5	304	36
a	5	320	40
a	5	321	46
a	5	324	14
a	5	339	35
a	5	384	70
a	5	388	42
a	5	390	76
a	5	392	54
a	5	400	39
a	5	402	45
a	5	403	28
a	5	424	52
a	5	450	74
a	5	454	15
a	6	0	82
a	6	1	69
a	6	2	2
a	6	3	46
a	6	4	78
a	6	5	38
a	6	7	84
a	6	8	32
a	6	9	38
a	6	10	77
a	6	12	50
a	6	13	99
a	6	14	26
a	6	16	57
a	6	17	56
a	6	19	36
