p	2048	32768
a	0	1	54
a	0	2	49
a	0	3	68
a	0	4	15
a	0	5	51
a	0	6	15
a	0	7	67
a	0	8	46
a	0	9	45
a	0	10	54
a	0	11	61
a	0	12	87
a	0	13	96
a	0	14	41
a	0	15	12
a	0	16	6
a	0	17	89
a	0	18	68
a	0	19	75
a	0	20	40
a	0	21	100
a	0	22	95
a	0	24	80
a	0	25	5
a	0	26	46
a	0	27	67
a	0	28	78
a	0	29	78
a	0	30	7
a	0	31	91
a	0	32	44
a	0	33	79
a	0	34	62
a	0	35	3
a	0	36	50
a	0	37	74
a	0	38	49
a	0	39	98
a	0	40	73
a	0	41	25
a	0	42	99
a	0	43	88
a	0	44	42
a	0	45	40
a	0	46	59
a	0	47	30
a	0	49	97
a	0	50	75
a	0	51	42
a	0	53	88
a	0	55	12
a	0	56	34
a	0	57	60
a	0	59	99
a	0	60	77
a	0	61	74
a	0	64	11
a	0	65	69
a	0	66	75
a	0	67	99
a	0	68	77
a	0	69	2
a	0	70	98
a	0	71	38
a	0	72	91
a	0	73	13
a	0	74	32
a	0	75	34
a	0	76	53
a	0	77	86
a	0	78	68
a	0	80	29
a	0	81	76
a	0	82	92
a	0	83	73
a	0	84	8
a	0	85	18
a	0	87	97
a	0	88	70
a	0	90	3
a	0	92	57
a	0	93	73
a	0	96	68
a	0	97	1
a	0	98	86
a	0	100	53
a	0	102	79
a	0	104	12
a	0	105	47
a	0	106	53
a	0	107	62
a	0	108	47
a	0	109	95
a	0	112	28
a	0	113	74
a	0	115	9
a	0	116	37
a	0	120	50
a	0	128	90
a	0	129	90
a	0	130	32
a	0	131	31
a	0	132	20
a	0	133	75
a	0	134	17
a	0	135	70
a	0	136	97
a	0	137	18
a	0	138	81
a	0	139	76
a	0	140	97
a	0	142	50
a	0	144	77
a	0	147	54
a	0	149	45
a	0	155	24
a	0	156	55
a	0	161	87
a	0	163	42
a	0	164	79
a	0	166	27
a	0	168	31
a	0	169	91
a	0	176	50
a	0	177	29
a	0	184	1
a	0	187	10
a	0	188	47
a	0	192	25
a	0	193	36
a	0	194	19
a	0	197	78
a	0	198	64
a	0	199	17
a	0	202	68
a	0	203	6
a	0	205	21
a	0	211	42
a	0	224	44
a	0	226	7
a	0	229	5
a	0	232	61
a	0	246	78
a	0	256	1
a	0	257	6
a	0	258	6
a	0	259	33
a	0	260	92
a	0	261	18
a	0	262	39
a	0	263	22
a	0	264	33
a	0	265	82
a	0	266	99
a	0	267	69
a	0	268	79
a	0	269	20
a	0	270	17
a	0	272	8
a	0	273	33
a	0	274	6
a	0	276	6
a	0	277	36
a	0	278	11
a	0	281	44
a	0	284	60
a	0	285	21
a	0	287	19
a	0	288	85
a	0	289	12
a	0	290	96
a	0	291	51
a	0	292	21
a	0	293	50
a	0	294	87
a	0	296	32
a	0	299	77
a	0	300	59
a	0	302	73
a	0	304	5
a	0	308	7
a	0	309	40
a	0	312	79
a	0	314	47
a	0	317	72
a	0	320	69
a	0	321	57
a	0	322	83
a	0	323	55
a	0	325	36
a	0	326	41
a	0	327	3
a	0	328	60
a	0	329	80
a	0	332	9
a	0	336	41
a	0	337	5
a	0	344	44
a	0	352	91
a	0	353	70
a	0	356	68
a	0	357	64
a	0	358	58
a	0	361	29
a	0	362	37
